word,frequency
eliza,28
attention,28
blind,28
upstairs,28
real,28
duty,28
uncle,28
charm,28
frame,28
beautiful,28
parlour,28
proceeded,28
kiss,28
morrow,28
millcote,28
thank,27
line,27
company,27
offered,27
say,27
suffering,27
grew,27
bonnet,27
path,27
gray,27
passing,27
mistress,27
fancy,27
party,27
habit,27
showed,27
draw,27
green,27
poole,27
hate,26
thinking,26
one,26
society,26
interval,26
resolved,26
meantime,26
position,26
desire,26
broad,26
inquired,26
touch,26
post,26
happened,26
expression,26
language,26
evre,26
creature,26
thousand,26
leah,26
consider,26
sophie,26
absolutely,26
drawn,25
nearly,25
view,25
opinion,25
abbot,25
fetch,25
secret,25
tried,25
prepared,25
able,25
moved,25
library,25
thin,25
excited,25
reached,25
wait,25
seems,25
free,25
eshton,25
morton,25
energy,24
earth,24
appearance,24
cross,24
standing,24
paused,24
neck,24
apartment,24
necessary,24
drawer,24
warm,24
oclock,24
considered,24
demanded,24
pride,24
pause,24
cousin,24
liberty,24
gathered,24
afterwards,24
principle,24
shape,24
visit,24
settled,24
solitude,24
cloak,24
spoken,24
pound,24
service,24
likely,24
fresh,24
yours,24
pilot,24
early,23
winter,23
turning,23
passage,23
discovered,23
instantly,23
spread,23
bitter,23
comfort,23
easy,23
sick,23
caught,23
finished,23
died,23
result,23
play,23
listened,23
clergyman,23
pretty,23
seem,23
impossible,23
prospect,23
talking,23
coach,23
miller,23
shone,23
event,23
english,23
plan,23
happiness,23
advanced,23
waiting,23
edward,23
gaze,23
wandering,22
brain,22
believed,22
distant,22
vision,22
immediately,22
chance,22
lonely,22
forced,22
judgment,22
staircase,22
bring,22
wide,22
aunt,22
direction,22
fixed,22
eight,22
expressed,22
notice,22
pleased,22
study,22
removed,22
amidst,22
clock,22
sympathy,22
force,22
leaving,22
confidence,22
veil,22
especially,21
truly,21
generally,21
heavy,21
getting,21
reading,21
aware,21
break,21
shade,21
nine,21
marble,21
repeated,21
curl,21
running,21
degree,21
courage,21
worse,21
making,21
angel,21
explanation,21
fully,21
marked,21
roof,21
gentle,21
paper,21
contrary,21
mouth,21
burning,21
christian,21
difficulty,21
experience,21
whispered,21
gold,21
companion,21
forgotten,21
remembered,21
surprised,21
ring,21
stern,21
region,20
space,20
snow,20
formed,20
notion,20
themselves,20
sentiment,20
fairy,20
follow,20
spring,20
carpet,20
covered,20
colour,20
solemn,20
silk,20
bound,20
recall,20
carried,20
country,20
limb,20
pocket,20
obliged,20
supper,20
breath,20
gazed,20
daily,20
frock,20
straight,20
uttered,20
trust,20
except,20
common,20
resumed,20
lower,20
london,20
scatcherd,20
respect,20
fellow,20
shadow,20
danger,20
lynn,20
bride,20
janet,20
regard,19
summer,19
allowed,19
thick,19
tongue,19
meal,19
teach,19
succeeded,19
disposed,19
fact,19
missis,19
move,19
complete,19
sank,19
dread,19
alive,19
perfect,19
raised,19
sentence,19
asleep,19
addressed,19
learn,19
journey,19
occasion,19
waited,19
evidently,19
hearing,19
stair,19
kissed,19
corner,19
visible,19
dining,19
enter,19
attempt,19
obeyed,19
portion,19
expect,19
suffer,19
brown,19
tray,19
middle,19
single,19
whence,19
flow,19
appear,19
born,19
claim,19
colonel,19
blanche,19
union,19
quarter,18
sofa,18
seated,18
possessed,18
rock,18
dreary,18
madam,18
continually,18
nerve,18
thence,18
intention,18
sensation,18
excitement,18
piece,18
general,18
brilliant,18
stirred,18
across,18
noise,18
purpose,18
pronounced,18
kindness,18
peace,18
weary,18
surely,18
village,18
occupation,18
instead,18
judge,18
influence,18
opening,18
guard,18
plainly,18
flame,18
hundred,18
changed,18
touched,18
burnt,18
surprise,18
naturally,18
goodness,18
accent,18
fortnight,18
land,18
yonder,18
mademoiselle,18
peculiar,18
cool,18
india,18
vague,17
therefore,17
repeat,17
relation,17
aspect,17
solitary,17
among,17
approach,17
health,17
spent,17
blow,17
clothes,17
drop,17
lock,17
shame,17
stir,17
recollection,17
painful,17
reflection,17
hollow,17
effect,17
darkness,17
gleam,17
loud,17
forgive,17
putting,17
vain,17
orphan,17
yesterday,17
stayed,17
difficult,17
express,17
entrance,17
learned,17
surveyed,17
swept,17
noticed,17
summoned,17
slowly,17
examined,17
cast,17
remarked,17
sudden,17
yard,17
address,17
news,17
shawl,17
wandered,17
smooth,17
longed,17
connection,17
handkerchief,17
acquaintance,17
memory,17
explain,17
farther,17
fate,17
emotion,17
patient,17
sake,17
inquiry,17
withdrew,17
wealth,17
ease,17
reach,17
youth,17
arch,17
despair,17
sacrifice,17
ear,16
parent,16
accustomed,16
faithful,16
working,16
accept,16
darling,16
thal,16
page,16
risen,16
quickly,16
terror,16
endure,16
length,16
stool,16
pair,16
folded,16
seldom,16
mood,16
sign,16
grief,16
severe,16
weak,16
hitherto,16
satin,16
mountain,16
cant,16
helped,16
pursued,16
grown,16
food,16
possible,16
breast,16
safe,16
departure,16
impression,16
fond,16
spectacle,16
brief,16
thirty,16
laughed,16
heath,16
hastened,16
ordinary,16
lesson,16
glorious,16
fastened,16
purple,16
comprehend,16
former,16
everything,16
wondered,16
talked,16
trace,16
season,16
regarded,16
conscience,16
sorrow,16
hedge,16
otherwise,16
downstairs,16
west,16
labour,16
request,16
worn,16
mystery,16
missionary,16
demand,15
action,15
group,15
remain,15
leaf,15
cake,15
twice,15
started,15
conduct,15
furniture,15
locked,15
depth,15
nobody,15
crossed,15
faculty,15
twelve,15
distinctly,15
plate,15
tint,15
star,15
rang,15
rule,15
detail,15
roused,15
nose,15
advantage,15
choose,15
listening,15
played,15
dressing,15
arranged,15
occupied,15
wrote,15
worst,15
wound,15
perceived,15
dying,15
murmured,15
trunk,15
bed,15
gloomy,15
written,15
doubtless,15
employment,15
madame,15
floor,15
keen,15
information,15
absence,15
forgot,15
god,15
save,15
spot,15
seized,15
remained,15
ornament,15
iron,15
noble,15
receive,15
entering,15
office,15
shire,15
choice,15
pencil,15
lane,15
accompany,15
stretched,15
louisa,15
briggs,15
scholar,15
term,14
difference,14
worth,14
suit,14
sheet,14
exercise,14
noon,14
twilight,14
blank,14
firm,14
strike,14
aside,14
wicked,14
wont,14
fury,14
shes,14
thrust,14
sing,14
visitor,14
hung,14
frequent,14
proud,14
equally,14
inward,14
required,14
fearful,14
bending,14
moonlight,14
rushed,14
basin,14
leaning,14
instance,14
softly,14
incident,14
marsh,14
shelter,14
grim,14
cottage,14
share,14
piano,14
correct,14
slip,14
drive,14
descended,14
sorry,14
younger,14
dislike,14
direct,14
arrangement,14
pointed,14
sunshine,14
write,14
gently,14
